Dataset,Algorithm,Time (s),Clusters,Silhouette,Calinski,Davies
moons,KMeans,0.1855,3,0.4463,842.75,0.89
moons,MiniBatchKMeans,0.0391,3,0.4107,774.21,0.93
moons,AffinityPropagation,0.6709,208,0.2375,332.29,0.39
moons,MeanShift,2.0279,1,0.0000,0.00,0.00
moons,SpectralClustering,1.0145,3,0.3688,578.99,0.98
moons,Ward,0.0145,3,0.3838,698.39,1.11
moons,AgglomerativeClustering,0.0125,3,0.3838,698.39,1.11
moons,DBSCAN,0.0063,2,0.3889,652.35,1.02
moons,HDBSCAN,0.0165,2,0.3889,652.35,1.02
moons,OPTICS,0.5120,4,0.2306,313.22,1.90
moons,Birch,0.0106,3,0.3808,660.03,0.89
moons,GaussianMixture,0.0339,3,0.3819,719.61,0.97
circles,KMeans,0.0043,3,0.3844,588.69,0.85
circles,MiniBatchKMeans,0.0337,3,0.3829,584.51,0.85
circles,AffinityPropagation,0.6497,22,0.4548,1201.89,0.60
circles,MeanShift,2.5265,1,0.0000,0.00,0.00
circles,SpectralClustering,1.1956,3,0.3889,600.28,0.84
circles,Ward,0.0158,3,0.3240,443.60,0.93
circles,AgglomerativeClustering,0.0125,3,0.3240,443.60,0.93
circles,DBSCAN,0.0058,2,0.1140,0.02,170.03
circles,HDBSCAN,0.0164,2,0.1140,0.02,170.03
circles,OPTICS,0.5123,6,0.1289,204.11,1.86
circles,Birch,0.0100,3,0.3345,469.78,0.92
circles,GaussianMixture,0.0085,3,0.3844,588.69,0.85
combined_moons_circles,KMeans,0.0066,3,0.4007,1308.28,0.87
combined_moons_circles,MiniBatchKMeans,0.0552,3,0.3868,1182.11,0.92
combined_moons_circles,AffinityPropagation,4.6058,177,0.3102,462.59,0.47
combined_moons_circles,MeanShift,4.3218,1,0.0000,0.00,0.00
combined_moons_circles,SpectralClustering,1.6558,3,0.3962,1212.70,0.86
combined_moons_circles,Ward,0.0471,3,0.3965,1238.23,0.86
combined_moons_circles,AgglomerativeClustering,0.0383,3,0.3965,1238.23,0.86
combined_moons_circles,DBSCAN,0.0093,1,0.0000,0.00,0.00
combined_moons_circles,HDBSCAN,0.0270,4,0.1096,257.30,2.04
combined_moons_circles,OPTICS,1.0308,2,0.2505,561.04,1.46
combined_moons_circles,Birch,0.0212,3,0.3432,926.37,0.89
combined_moons_circles,GaussianMixture,0.0107,3,0.4003,1286.05,0.86
